raw_person_id,raw_name,normalized_name,canonical_key,suggested_canonical_name,mention_letters_count,sender_letters_count,recipient_letters_count,action,canonical_name_override,notes
2156,Andy,andy,andy,Andy,1,0,0,review,,
3266,Andy Johnson,andy johnson,andy_johnson,Andy Johnson,1,0,0,review,,
2365,Ann,ann,ann,Ann,4,0,0,review,,
1640,Anna,anna,anna,Anna &,167,0,0,review,,
4936,Anna &,anna,anna,Anna &,1,0,0,review,,
2804,Anna Green,anna green,anna_green,Anna Green,1,0,0,review,,
2394,Anna Hayne,anna hayne,anna_hayne,Anna Hayne,1,0,0,review,,
3217,Anna Mos,anna mos,anna_mos,Anna Mos,1,0,0,review,,
288,Anna Perry,anna perry,anna_perry,Anna Perry,27,0,9,review,,
4993,Anna recd,anna recd,anna_recd,Anna recd,1,0,0,review,,
2904,Anna Trezevants,anna trezevants,anna_trezevants,Anna Trezevants,1,0,0,review,,
1669,Annapolis,annapolis,annapolis,Annapolis,29,0,0,review,,
1726,Annas,annas,annas,& Annas,16,0,0,review,,
1798,Anne,anne,anne,Anne,15,0,0,review,,
2663,Anne Williams,anne williams,anne_williams,Anne Williams,1,0,0,review,,
2332,Annie,annie,annie,Annie,6,0,0,review,,
3123,Annie McBee,annie mcbee,annie_mcbee,Annie McBee,1,0,0,review,,
2018,Antwerp,antwerp,antwerp,Antwerp,3,0,0,review,,
2801,Armistead Burt,armistead burt,armistead_burt,Armistead Burt,5,0,0,review,,
1838,Arnold,arnold,arnold,Arnold,6,0,0,review,,
1642,Arthur,arthur,arthur,Arthur,70,0,0,review,,
1668,Arthur Hayne,arthur hayne,arthur_hayne,A[rthur] Hayne,7,0,0,review,,
2083,Arthur P. Hayne,arthur p hayne,arthur_p_hayne,Arthur P. Hayne,3,0,0,review,,
2963,Arthur Simpkins,arthur simpkins,arthur_simpkins,Arthur Simpkins,2,0,0,review,,
1909,Arthurs,arthurs,arthurs,Arthurs,1,0,0,review,,
3141,Arthurs Rail Road,arthurs rail road,arthurs_rail_road,Arthurs Rail Road,1,0,0,review,,
2609,Arthus,arthus,arthus,Arthus,1,0,0,review,,
1871,Asa Hodges,asa hodges,asa_hodges,Asa Hodges,1,0,0,review,,
2576,Ashe,ashe,ashe,Ashe,3,0,0,review,,
1897,Augustus Hoke,augustus hoke,augustus_hoke,Augustus Hoke,2,0,0,review,,
2730,Augustus Townes,augustus townes,augustus_townes,Augustus Townes,2,0,0,review,,
2795,Augustus Townes Bride,augustus townes bride,augustus_townes_bride,Augustus Townes Bride,1,0,0,review,,
2442,Aunt Annie,aunt annie,aunt_annie,Aunt Annie,3,0,0,review,,
2387,Aunt Hayne,aunt hayne,aunt_hayne,Aunt Hayne,1,0,0,review,,
2563,Aunt Susan,aunt susan,aunt_susan,Aunt Susan,2,0,0,review,,
3317,Austen,austen,austen,Austen,1,0,0,review,,
2211,Austin,austin,austin,Austin,5,0,0,review,,
2798,Away,away,away,Away,1,0,0,review,,
5136,B.,b,b,B.,1,0,0,review,,
2423,B. Carrol,b carrol,b_carrol,B. Carrol,1,0,0,review,,
143,B. F. Perry,b f perry,b_f_perry,B. F. Perry,1,1,0,review,,
267,B.F Perry,bf perry,bf_perry,B.F.  Perry,0,1,0,review,,
5471,B.F.  Perry,bf perry,bf_perry,B.F.  Perry,1,0,0,review,,
3211,B.F. Heard,bf heard,bf_heard,B.F. Heard,1,0,0,review,,
3258,B.F. Hunt,bf hunt,bf_hunt,B.F. Hunt,1,0,0,review,,
1,B.F. Perry,bf perry,bf_perry,B.F.  Perry,4,713,1,review,,
852,B.F. Perry Jr.,bf perry jr,bf_perry_jr,B.F. Perry Jr.,0,0,7,review,,
447,B.F.P.,bfp,bfp,B.F.P.,0,1,0,review,,
935,B.J. Perry,bj perry,bj_perry,B.J. Perry,0,1,0,review,,
2324,B.T. Perry,bt perry,bt_perry,B.T. Perry,1,0,0,review,,
2938,B[word,bword,bword,B[word,1,0,0,review,,
3112,Babcock,babcock,babcock,Babcock,1,0,0,review,,
2036,Bacon,bacon,bacon,Bacon,1,0,0,review,,
2903,Bad,bad,bad,Bad,1,0,0,review,,
3041,Bail[e]y,bailey,bailey,Bail[e]y,2,0,0,review,,
2339,Bailey,bailey,bailey,Bail[e]y,4,0,0,review,,
3011,Bailor,bailor,bailor,Bailor,1,0,0,review,,
1965,Baker,baker,baker,Baker,1,0,0,review,,
1663,Ball,ball,ball,Ball,22,0,0,review,,
2840,Ballard,ballard,ballard,Ballard,1,0,0,review,,
1872,Bancroft,bancroft,bancroft,Bancroft,1,0,0,review,,
2787,Banks,banks,banks,Banks,4,0,0,review,,
2606,Barclay,barclay,barclay,Barclay,1,0,0,review,,
1956,Barksdale,barksdale,barksdale,Barksdale,2,0,0,review,,
3240,Barksdales,barksdales,barksdales,Barksdales,1,0,0,review,,
2878,Barn,barn,barn,Barn,1,0,0,review,,
3498,Barnes,barnes,barnes,Barnes,1,0,0,review,,
2323,Barnett,barnett,barnett,Barnett,3,0,0,review,,
3108,Barnetts,barnetts,barnetts,Barnetts,1,0,0,review,,
1847,Barnwell,barnwell,barnwell,Barnwell,15,0,0,review,,
3095,Barnwell Duncan,barnwell duncan,barnwell_duncan,Barnwell Duncan,1,0,0,review,,
1943,Barnwell Rhett,barnwell rhett,barnwell_rhett,Barnwell Rhett,9,0,0,review,,
3420,Barrel,barrel,barrel,Barrel,1,0,0,review,,
3239,Barret,barret,barret,Barret,1,0,0,review,,
2397,Barrett,barrett,barrett,Barrett,3,0,0,review,,
1945,Barrow,barrow,barrow,Barrow,1,0,0,review,,
3079,Bartell,bartell,bartell,Bartell,1,0,0,review,,
2421,Barton,barton,barton,Barton,2,0,0,review,,
3043,Bartows,bartows,bartows,Bartows,1,0,0,review,,
3144,Bates,bates,bates,Bates,1,0,0,review,,
2271,Battle,battle,battle,Battle,3,0,0,review,,
2338,Baxter,baxter,baxter,Baxter,1,0,0,review,,
2842,Baylis Crayton,baylis crayton,baylis_crayton,Baylis Crayton,1,0,0,review,,
1895,Beadon,beadon,beadon,Beadon,4,0,0,review,,
2235,Beadons,beadons,beadons,Beadons,1,0,0,review,,
2975,Beard,beard,beard,Beard,1,0,0,review,,
1350,Beattie,beattie,beattie,Beattie,9,0,1,review,,
3475,Beattie Annas,beattie annas,beattie_annas,Beattie Annas,1,0,0,review,,
2059,Beatty,beatty,beatty,Beatty,4,0,0,review,,
2290,Beaufort Watts,beaufort watts,beaufort_watts,Beaufort Watts,2,0,0,review,,
3142,Beauregard,beauregard,beauregard,Beauregard,2,0,0,review,,
3074,Beauregardsome,beauregardsome,beauregardsome,Beauregardsome,1,0,0,review,,
3208,Becky,becky,becky,Becky,1,0,0,review,,
2340,Becky Sharp,becky sharp,becky_sharp,Becky Sharp,2,0,0,review,,
2897,Bee,bee,bee,Bee,2,0,0,review,,
3008,Behre,behre,behre,Behre,1,0,0,review,,
3012,Bell,bell,bell,Bell,3,0,0,review,,
2266,Belton,belton,belton,Belton,5,0,0,review,,
1806,Ben,ben,ben,Ben,19,0,0,review,,
2833,ben,ben,ben,Ben,1,0,0,review,,
2377,Ben & Jack,ben  jack,ben__jack,Ben & Jack,1,0,0,review,,
1955,Ben Goodlettsnone,ben goodlettsnone,ben_goodlettsnone,Ben Goodlettsnone,1,0,0,review,,
3003,Ben McCulloch,ben mcculloch,ben_mcculloch,Ben McCulloch,1,0,0,review,,
2720,Ben McDaniel,ben mcdaniel,ben_mcdaniel,Ben McDaniel,1,0,0,review,,
2317,Ben Perry,ben perry,ben_perry,Ben Perry,1,0,0,review,,
2466,Ben Yancey,ben yancey,ben_yancey,Ben Yancey,3,0,0,review,,
4465,ben Yancey,ben yancey,ben_yancey,Ben Yancey,1,0,0,review,,
1971,Ben Yanceys,ben yanceys,ben_yanceys,Ben Yanceys,2,0,0,review,,
2532,Benedict,benedict,benedict,Benedict,1,0,0,review,,
2164,Benedict Arnold,benedict arnold,benedict_arnold,Benedict Arnold,1,0,0,review,,
3118,Benjamin D. Naebors,benjamin d naebors,benjamin_d_naebors,Benjamin D.] Naebors,1,0,0,review,,
5168,Benjamin D.] Naebors,benjamin d naebors,benjamin_d_naebors,Benjamin D.] Naebors,1,0,0,review,,
916,Benjamin F. Perry,benjamin f perry,benjamin_f_perry,Benjamin F. Perry,1,0,1,review,,
2425,Benjamin Faneuil,benjamin faneuil,benjamin_faneuil,Benjamin Faneuil,2,0,0,review,,
2697,Benjamin Franklin Perry,benjamin franklin perry,benjamin_franklin_perry,Benjamin Franklin Perry,2,0,0,review,,
2693,Benjamin Henry Willson,benjamin henry willson,benjamin_henry_willson,Benjamin Henry] Willson,1,0,0,review,,
4709,Benjamin Henry] Willson,benjamin henry willson,benjamin_henry_willson,Benjamin Henry] Willson,1,0,0,review,,
1178,Benjamin Perry,benjamin perry,benjamin_perry,Benjamin Perry,1,0,22,review,,
2628,Benson,benson,benson,Benson,2,0,0,review,,
3468,Benson J. Lossing,benson j lossing,benson_j_lossing,Benson J. Lossing,1,0,0,review,,
