canonical_key,full_name,display_name,birth_year,death_year,birth_place_id,death_place_id,race_code,gender,class_code,occupation,home_region_sc_code,enslaved_status,source_density_code,representation_depth_code,erasure_flag,erasure_reason_code,notes
greenville_ch,Greenville C.H.,Greenville C.H.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2542
greenville_court,Greenville Court,Greenville Court,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5463
greenville_dist,Greenville Dist,Greenville Dist,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4715
greenvilleto_asheville,Greenvilleto Asheville,Greenvilleto Asheville,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5394
greenwood,Greenwood,Greenwood,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2937
gregg,Gregg,Gregg,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3481
greggs_regiment,Greggs Regiment,Greggs Regiment,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2562
gridley,Gridley,Gridley,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3044
griffin,Griffin,Griffin,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2441
griffins,Griffins,Griffins,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3488
grimball,Grimball,Grimball,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3046
grisham,Grisham,Grisham,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2662
gue,Gue,Gue,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2193
guignards,Guignards,Guignards,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2040
gus_hoke,Gus Hoke,Gus Hoke,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2551
h,H,H,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5395
h_thurston,H. Thurston,H. Thurston,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2299
h_white,H. White,H. White,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1782
ha,Ha,Ha,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3149
hagood,Hagood,Hagood,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2261
hallie_c_your,Hallie C.  Your,Hallie C.  Your,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1992,3963"
hamilton,Hamilton,Hamilton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2637
hamlin,Hamlin,Hamlin,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1689
hamlin_beattie,Hamlin Beattie,Hamlin Beattie,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2486
hamlin_beatty,Hamlin Beatty,Hamlin Beatty,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2024
hammerscolds,Hammerscolds,Hammerscolds,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1670
hammett,Hammett,Hammett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3375
hammond_c,Hammond &c.,Hammond &c.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5372
hammonds,Hammonds,Hammonds,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2862
hampton,Hampton,Hampton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1707
happen,Happen,Happen,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5137
harleston_read,Harleston Read,Harleston Read,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3093
harman,Harman,Harman,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3125
harper,Harper,Harper,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2283
harpers,Harpers,Harpers,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2129
harpers_ferry,Harpers Ferry,Harpers Ferry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3102
harralson,Harralson,Harralson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2131
harriet_perry,Harriet Perry,Harriet Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3269
harriet_thurston,Harriet Thurston,Harriet Thurston,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2921
harris,Harris,Harris,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3360
harrison,Harrison,Harrison,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2068
harrison_jr,Harrison Jr,Harrison Jr,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2955
harrisons,Harrisons,Harrisons,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2764
harry,Harry,Harry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2873
harry_hammond,Harry] Hammond,Harry] Hammond,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2599,4607"
hasan,Hasan,Hasan,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2409
hasle,Hasle,Hasle,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3287
hastie,Hastie,Hastie,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2254
hawkins,Hawkins,Hawkins,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2455
hawthorn,Hawthorn,Hawthorn,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2543
hayne,Hayne,Hayne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1735
hayne_col,Hayne Col,Hayne Col,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3316
hayne_perry,Hayne Perry,Hayne Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1518
hayne_wells,Hayne Wells,Hayne Wells,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2422
haynes,Haynes,Haynes,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1686
haynsworth,Haynsworth,Haynsworth,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3090
headen,Headen,Headen,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2540
headquarters,Headquarters,Headquarters,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5190
heit,Heit,Heit,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2369
helen_harrington,Helen Harrington,Helen Harrington,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2478
henderson,Henderson,Henderson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1599
henry,Henry &,Henry &,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1586,4054"
henry_buist,Henry Buist,Henry Buist,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3193
henry_cauble,Henry Cauble,Henry Cauble,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2269
henry_clinton,Henry Clinton,Henry Clinton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2774
henry_d_doyley,Henry D. Doyley,Henry D. Doyley,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3347
henry_deas_lesesne,Henry Deas] Lesesne,Henry Deas] Lesesne,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3196,5248"
henry_heyward,Henry Heyward,Henry Heyward,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2065
henry_l_pinckney,Henry L. Pinckney,Henry L. Pinckney,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2658
henry_pinckney,Henry Pinckney],Henry Pinckney],,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3374,5448"
henry_pinckney_hammett,Henry Pinckney] Hammett  &,Henry Pinckney] Hammett  &,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3188,5240"
henry_sparnick,Henry] Sparnick,Henry] Sparnick,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2724,4742"
henry_t_thompsons,Henry T. Thompsons,Henry T. Thompsons,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1672
henry_thompson,Henry Thompson,Henry Thompson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3099
henry_thurston,Henry Thurston,Henry Thurston,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2786
henry_william_garlington,Henry William] Garlington,Henry William] Garlington,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3334,5403"
herald,Herald,Herald,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1954
herbemont,Herbemont,Herbemont,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2214
heretofore,Heretofore,Heretofore,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2945
herndon,Herndon,Herndon,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1862
herrick,Herrick,Herrick,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3028
hext,Hext,Hext,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1637
hext_mccall,Hext McCall,Hext McCall,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2874
heyward,Heyward,Heyward,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2217
