canonical_key,alias_name,source_id,notes
barnwell,Barnwell,,From BFPerry person_id=1847
barnwell_duncan,Barnwell Duncan,,From BFPerry person_id=3095
barnwell_rhett,Barnwell Rhett,,From BFPerry person_id=1943
barrel,Barrel,,From BFPerry person_id=3420
barret,Barret,,From BFPerry person_id=3239
barrett,Barrett,,From BFPerry person_id=2397
barrow,Barrow,,From BFPerry person_id=1945
bartell,Bartell,,From BFPerry person_id=3079
barton,Barton,,From BFPerry person_id=2421
bartows,Bartows,,From BFPerry person_id=3043
bates,Bates,,From BFPerry person_id=3144
battle,Battle,,From BFPerry person_id=2271
baxter,Baxter,,From BFPerry person_id=2338
baylis_crayton,Baylis Crayton,,From BFPerry person_id=2842
beadon,Beadon,,From BFPerry person_id=1895
beadons,Beadons,,From BFPerry person_id=2235
beard,Beard,,From BFPerry person_id=2975
beattie,Beattie,,From BFPerry person_id=1350
beattie_annas,Beattie Annas,,From BFPerry person_id=3475
beatty,Beatty,,From BFPerry person_id=2059
beaufort_watts,Beaufort Watts,,From BFPerry person_id=2290
beauregard,Beauregard,,From BFPerry person_id=3142
beauregardsome,Beauregardsome,,From BFPerry person_id=3074
becky,Becky,,From BFPerry person_id=3208
becky_sharp,Becky Sharp,,From BFPerry person_id=2340
bee,Bee,,From BFPerry person_id=2897
behre,Behre,,From BFPerry person_id=3008
bell,Bell,,From BFPerry person_id=3012
belton,Belton,,From BFPerry person_id=2266
ben,Ben,,From BFPerry person_id=1806
ben__jack,Ben & Jack,,From BFPerry person_id=2377
ben_goodlettsnone,Ben Goodlettsnone,,From BFPerry person_id=1955
ben_mcculloch,Ben McCulloch,,From BFPerry person_id=3003
ben_mcdaniel,Ben McDaniel,,From BFPerry person_id=2720
ben_perry,Ben Perry,,From BFPerry person_id=2317
ben_yancey,Ben Yancey,,From BFPerry person_id=2466
ben_yanceys,Ben Yanceys,,From BFPerry person_id=1971
benedict,Benedict,,From BFPerry person_id=2532
benedict_arnold,Benedict Arnold,,From BFPerry person_id=2164
benjamin_d_naebors,Benjamin D. Naebors,,From BFPerry person_id=3118
benjamin_d_naebors,Benjamin D.] Naebors,,From BFPerry person_id=5168
benjamin_f_perry,Benjamin F. Perry,,From BFPerry person_id=916
benjamin_faneuil,Benjamin Faneuil,,From BFPerry person_id=2425
benjamin_franklin_perry,Benjamin Franklin Perry,,From BFPerry person_id=2697
benjamin_henry_willson,Benjamin Henry Willson,,From BFPerry person_id=2693
benjamin_henry_willson,Benjamin Henry] Willson,,From BFPerry person_id=4709
benjamin_perry,Benjamin Perry,,From BFPerry person_id=1178
benson,Benson,,From BFPerry person_id=2628
benson_j_lossing,Benson J. Lossing,,From BFPerry person_id=3468
benson_j_lossing_esq,Benson J. Lossing Esq.,,From BFPerry person_id=1462
bensons,Bensons,,From BFPerry person_id=2671
benton,Benton,,From BFPerry person_id=1743
betty_robinson,Betty Robinson,,From BFPerry person_id=1856
bill,Bill,,From BFPerry person_id=1647
bill_arps,Bill Arps,,From BFPerry person_id=3361
bill_beattie,Bill Beattie,,From BFPerry person_id=2142
bill_fisher,Bill Fisher,,From BFPerry person_id=3320
bill_fisher,Bill Fisher &,,From BFPerry person_id=5488
bill_jones,Bill Jones,,From BFPerry person_id=3111
