person_id,full_name,rel_count,category_guess,candidate_canonical_ids,candidate_canonical_names,action,merge_target_id,rename_to,notes
1059,George,1,firstname,165;166;167;168;169;170;171;172;173;174;175;176;177;178;846;880;925;984;1131;1176;1177;1208,George A. Gardiner;George Alfred;George Bryant;George Butler;George Croft;George D. Tillman;George F. Townes;George Franklin Townes;George Gliddon;George Gordon Meade;George H. Pendleton;George McDuffie;George Washington Dargan;George Wells;George Street;George R.;George Davis;George W. Williams;George B. Cuthbert;George Ingraham;George is;George Williams,,,,
605,Gibbes,0,unmatched,,,,,,
544,Gibert,0,surname,545;546;559;565;566;1153,Pierre Gibert;Joseph Bienaime Gibert;Jean Louis Gibert;Etienne Gibert;Elie Gibert;E. Gibert,,,,
764,Gilmer,3,surname,1231,Lewis Gilmer,,,,
714,Gisberne,0,unmatched,,,,,,
842,Gladden,0,unmatched,,,,,,
781,Glasgow,0,unmatched,,,,,,
613,Godard,0,unmatched,,,,,,
875,Godmother,0,unmatched,,,,,,
1002,Gould,0,unmatched,,,,,,
861,Gourdin,0,surname,1235,Peter Gourdin,,,,
1123,Graham,0,surname,1126,W. A. Graham,,,,
938,Grandma,0,unmatched,,,,,,
979,Grandmother,1,unmatched,,,,,,
587,Gray,1,unmatched,,,,,,
1225,Greer,0,unmatched,,,,,,
746,Gregg,1,unmatched,,,,,,
594,Gregorie,0,unmatched,,,,,,
1154,Grut,0,unmatched,,,,,,
570,Guilfoyle,1,unmatched,,,,,,
1221,Guillou,0,unmatched,,,,,,
1172,Gwinne,0,unmatched,,,,,,
1197,Hachet,0,unmatched,,,,,,
1032,Haddrels,0,unmatched,,,,,,
856,Haigler,0,unmatched,,,,,,
666,Hamilton,41,surname,832;834;961,James Hamilton;J. Hamilton;Jack Hamilton,,,,
697,Hampden,0,unmatched,,,,,,
553,Harriet,0,surname,184;185;899,Harriet Perry;Harriet Thurston;Harriet Porcher,,,,
775,Harriette,0,unmatched,,,,,,
1111,Harris,0,surname,390,Robert Harris,,,,
965,Hartstene,0,unmatched,,,,,,
1064,Harvey,0,unmatched,,,,,,
732,Hayne,0,surname,27;36;42;43;49;105;111;121;130;142;187;188;204;358;420;500;693,Alston Hayne;Anna Hayne;Arthur Hayne;Arthur P. Hayne;Aunt Hayne;Edmond Hayne;Edward Hayne;Eliza Hayne;Emily Hayne;Frances Hayne;Hayne Perry;Hayne Wells;Isaac Hayne &;Paul Hayne;Susan Hayne;William Hayne Perry;Young Hayne,,,,
554,Hemphill,0,unmatched,,,,,,
850,Henry,12,firstname,76;190;191;192;193;194;195;196;197;198;199;205;216;224;407;502;503;504;679;684;718;765;914;995;1010;1068;1119,Charles Henry Simonton;Henry Buist;Henry Cauble;Henry Clinton;Henry D. Doyley;Henry Deas Lesesne;Henry Heyward;Henry Pinckney Hammett &;Henry Sparnick;Henry Thurston;Henry William Garlington;Isaac Henry;James Edward Henry;James Henry Hammond;Samuel Henry Dickson;William Henry Foote;William Henry Millburns;William Henry White;Henry A.;Henry L. Pinckney;Henry Cruger;Henry North;Henry D. Lesesne;Henry Young;Henry King;Henry Middleton*;Henry King so,,,,
593,Heyward,1,surname,195;347;1211,Henry Heyward;Nat Heyward;William Heyward,,,,
620,Holmes,11,surname,206;793,Isaac Holmes;L. P. Holmes,,,,
681,Horry,0,unmatched,,,,,,
807,Httle,0,unmatched,,,,,,
618,Huger,18,surname,21;94;648;708;863;966,Alfred Huger;Daniel Elliott Huger;A. Huger's;Ben Huger;John Huger;Tom Huger hang,,,,
799,Hugh,0,surname,4;143;705,Hugh Legaré;Francis Hugh Wardlaw;HUGH S. LEGARE,,,,
1249,Hunter,0,unmatched,,,,,,
1033,Huntsville,0,unmatched,,,,,,
1139,Hymen,0,unmatched,,,,,,
887,Ingraham,0,surname,1176,George Ingraham,,,,
1196,J.,0,surname,240;249;255,J.B. Campbell;J.H. Hammond;J.L. Orr,,,,
664,Jack,27,surname,210;961;993,Jack Jenkins;Jack Hamilton;Jack Middleton,,,,
632,Jackson,3,unmatched,,,,,,
710,Jacobins,0,unmatched,,,,,,
779,James,45,firstname,211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;227;228;229;230;231;232;233;234;235;236;237;320;685;738;832;931;957;960;967;1005;1052;1053;1118;1170;1247,James B. Campbell;James Benson;James Black;James Chesnut;James Diament;James Edward Henry;James Farrow;James H. Adams;James H. Irby;James H. Norwood;James H. Rion;James Harrison;James Henley;James Henry Hammond;James Lawrence Orr;James M. Carlisle;James M. Gadberry &;James McCullough;James Moore Wayne;James OHanlon;James Parsons Carroll;James Perrin;James Petigru Boyce;James Simmons;James Smith Rhett;James Washington;Josiah James Evans;James Louis Petigru;James Smith;James Hamilton;James Jones;James Lowndes;James north;James Island;JAMES PETIGRU;James River;James Carson;James Johnston Pettigrew;James North's;JAMES PETIGRU CARSON,,,,
584,Jane,78,firstname,238;239;909;1099;1135,Jane Adams;Jane Walker;Aunt Jane;Jane Petigru North;Jane Caroline,,,,
983,Jeff,10,surname,241;242,Jeff Arnold;Jeff Davis,,,,
702,Jefferson,5,surname,439;440,Thomas Jefferson;Thomas Jefferson Withers,,,,
1201,Jem,1,unmatched,,,,,,
962,Jennings,0,surname,245,Jennings Goodlett,,,,
716,Jeroboam,0,unmatched,,,,,,
797,Jim*,3,unmatched,,,,,,
809,Jnd,0,unmatched,,,,,,
1035,Jo,11,surname,1034;1233,Jo Blyth;Jo Blythe,,,,
581,Joe,1,surname,257;258;259;802,Joe Ferguson;Joe Longs;Joe McCullough;Joe Lesesne,,,,
774,John,7,firstname,101;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;507;628;653;845;863;924;959;1003;1042;1128;1136;1227,Dr. John LeConte;John A. Inglis;John A. Quitman;John Adams Dix;John Algernon Sidney;John Ashe Alston;John Baird;John Baldwin;John Bauskett;John Belton;John Bradly;John C. Calhoun;John C. Norriss;John Charles McClenaghan;John Cunningham;John Davis;John Durant Ashmore;John E. Norris;John Etienne;John Ferguson;John Fowler;John H. Harrisons;John Hughson;John Izard Middleton;John J. Crittenden;John Jones;John L. Manning;John Latimer Westmoreland;John LeConte;John Ligon;John Livingston;John Marshal;John Maxwell;John McColl;John P. Richardson;John Perry;John Peter Richardson;John Pettit;John Preston;John Q. Adams;John Reeds;John S. Preston;John Smyth Richardson;John T. Hoffman;John T. Sloan;John Van Buren;John Watson;John Westfield;John Wickliffe Stokes;William John Grayson;St John's;John Fripp;John Postell;John Huger;John Franklin;John Middleton;John Butler;John DeSaussure;John Randolph's;John A.;John Edwards,,,,
1251,Johnny,0,surname,1250,Johnny Jones,,,,
667,Johnson,22,surname,34;96;487;508;704;897;1083;1084,Andy Johnson;David Johnson;William Dalrymple Johnson;William Johnson;Drove Johnson;Herschell Johnson;little Johnson;Dick Johnson,,,,
784,Johnston,8,surname,396;981;1025;1118,Rufus Johnston;J. JOHNSTON;Johnston Ho;James Johnston Pettigrew,,,,
600,Jones,0,surname,10;67;112;132;139;202;286;339;402;452;692;717;931;1250,Adam Jones;Bill Jones;Edward Jones;Erwin Jones;Flora Jones;Irvine Jones;John Jones;Mary Jones;Sam Jones;Tom Jones;Seaborn Jones;William Jones;James Jones;Johnny Jones,,,,
